image_id,url,license,author
30107316117,https://www.flickr.com/photos/michaelklotz/30107316117/,https://creativecommons.org/licenses/by-nc/2.0/,Michael W Klotz - The Bird Blogger.com
33844942958,https://www.flickr.com/photos/jmaughn/33844942958/,https://creativecommons.org/licenses/by-nc/2.0/,J. Maughn
44272303765,https://www.flickr.com/photos/michaelklotz/44272303765/,https://creativecommons.org/licenses/by-nc/2.0/,Michael W Klotz - The Bird Blogger.com
46909814754,https://www.flickr.com/photos/jmaughn/46909814754/,https://creativecommons.org/licenses/by-nc/2.0/,J. Maughn
48070038712,https://www.flickr.com/photos/jmaughn/48070038712/,https://creativecommons.org/licenses/by-nc/2.0/,J. Maughn
40237212684,https://www.flickr.com/photos/usfwspacific/40237212684/,https://creativecommons.org/licenses/by-nc/2.0/,USFWS Pacific
40355560503,https://www.flickr.com/photos/usfwspacific/40355560503/,https://creativecommons.org/licenses/by-nc/2.0/,USFWS Pacific
47584141992,https://www.flickr.com/photos/30314434@N06/47584141992/,https://creativecommons.org/licenses/by-nc/2.0/,Robin Agarwal (ANudibranchMom on iNaturalist)
47584142402,https://www.flickr.com/photos/30314434@N06/47584142402/,https://creativecommons.org/licenses/by-nc/2.0/,Robin Agarwal (ANudibranchMom on iNaturalist)
30804529724,https://www.flickr.com/photos/blachswan/30804529724/,https://creativecommons.org/licenses/by/2.0/,blachswan
31609079166,https://www.flickr.com/photos/blachswan/31609079166/,https://creativecommons.org/licenses/by/2.0/,blachswan
31646012535,https://www.flickr.com/photos/blachswan/31646012535/,https://creativecommons.org/licenses/by/2.0/,blachswan
31646015755,https://www.flickr.com/photos/blachswan/31646015755/,https://creativecommons.org/licenses/by/2.0/,blachswan
32416537886,https://www.flickr.com/photos/105105658@N03/32416537886/,https://creativecommons.org/licenses/by/2.0/,Rob Oo
24820019210,https://www.flickr.com/photos/wildreturn/24820019210/,https://creativecommons.org/licenses/by/2.0/,Wildreturn
24997571202,https://www.flickr.com/photos/wildreturn/24997571202/,https://creativecommons.org/licenses/by/2.0/,Wildreturn
30721519544,https://www.flickr.com/photos/treegrow/30721519544/,https://creativecommons.org/licenses/by/2.0/,treegrow
42815124592,https://www.flickr.com/photos/michaelklotz/42815124592/,https://creativecommons.org/licenses/by-nc/2.0/,Michael W Klotz - The Bird Blogger.com
934123127,https://www.flickr.com/photos/kenai/934123127/,https://creativecommons.org/licenses/by-nc/2.0/,TurasPhoto
5699395334,https://www.flickr.com/photos/usfwshq/5699395334/,https://creativecommons.org/licenses/by/2.0/,USFWS Headquarters
5944746087,https://www.flickr.com/photos/usfwshq/5944746087/,https://creativecommons.org/licenses/by/2.0/,USFWS Headquarters
5944746087,https://www.flickr.com/photos/usfwshq/5944746087/,https://creativecommons.org/licenses/by/2.0/,USFWS Headquarters
7982724776,https://www.flickr.com/photos/kiskadee_3/7982724776/,https://creativecommons.org/licenses/by/2.0/,Don Henise
7982776826,https://www.flickr.com/photos/kiskadee_3/7982776826/,https://creativecommons.org/licenses/by/2.0/,Don Henise
7982725150,https://www.flickr.com/photos/kiskadee_3/7982725150/,https://creativecommons.org/licenses/by/2.0/,Don Henise
7982725150,https://www.flickr.com/photos/kiskadee_3/7982725150/,https://creativecommons.org/licenses/by/2.0/,Don Henise
7982776630,https://www.flickr.com/photos/kiskadee_3/7982776630/,https://creativecommons.org/licenses/by/2.0/,Don Henise
7982781393,https://www.flickr.com/photos/kiskadee_3/7982781393/,https://creativecommons.org/licenses/by/2.0/,Don Henise
9154176142,https://www.flickr.com/photos/usfwshq/9154176142/,https://creativecommons.org/licenses/by/2.0/,USFWS Headquarters
18234537601,https://www.flickr.com/photos/isaaccsanchez/18234537601/,https://creativecommons.org/licenses/by/2.0/,IsaacCSanchez
40124183245,https://www.flickr.com/photos/38441488@N08/40124183245/,https://creativecommons.org/licenses/by/2.0/,Lisa Hupp
48114872253,https://www.flickr.com/photos/sloalan/48114872253/,https://creativecommons.org/publicdomain/zero/1.0/,Sloalan
48114872253,https://www.flickr.com/photos/sloalan/48114872253/,https://creativecommons.org/publicdomain/zero/1.0/,Sloalan
48114908153,https://www.flickr.com/photos/sloalan/48114908153/,https://creativecommons.org/publicdomain/zero/1.0/,Sloalan
48114908153,https://www.flickr.com/photos/sloalan/48114908153/,https://creativecommons.org/publicdomain/zero/1.0/,Sloalan
15075548796,https://www.flickr.com/photos/sataylor/15075548796/,https://creativecommons.org/licenses/by-nc/2.0/,sataylor pix
19881544294,https://www.flickr.com/photos/frostnip/19881544294/,https://creativecommons.org/licenses/by-nc/2.0/,frostnip907
28233775235,https://www.flickr.com/photos/amaizlish/28233775235/,https://creativecommons.org/licenses/by-nc/2.0/,Aaron Maizlish
4948867354,https://www.flickr.com/photos/usfwspacific/4948867354/,https://creativecommons.org/licenses/by-nc/2.0/,USFWS Pacific
5693307928,https://www.flickr.com/photos/usfwspacific/5693307928/,https://creativecommons.org/licenses/by-nc/2.0/,USFWS Pacific
27095624434,https://www.flickr.com/photos/michaelklotz/27095624434/,https://creativecommons.org/licenses/by-nc/2.0/,Michael W Klotz - The Bird Blogger.com
27152399190,https://www.flickr.com/photos/142463236@N07/27152399190/,https://creativecommons.org/licenses/by-nc/2.0/,_quintin_
42175926382,https://www.flickr.com/photos/michaelklotz/42175926382/,https://creativecommons.org/licenses/by-nc/2.0/,Michael W Klotz - The Bird Blogger.com
48131790087,https://www.flickr.com/photos/rachidh/48131790087/,https://creativecommons.org/licenses/by-nc/2.0/,RachidH
48131790767,https://www.flickr.com/photos/rachidh/48131790767/,https://creativecommons.org/licenses/by-nc/2.0/,RachidH
33832159618,https://www.flickr.com/photos/stinkenroboter/33832159618/,https://creativecommons.org/licenses/by-nc/2.0/,stinkenroboter
40766976623,https://www.flickr.com/photos/birdnerds/40766976623/,https://creativecommons.org/licenses/by-nc/2.0/,dmoon10751
46744028555,https://www.flickr.com/photos/87792096@N00/46744028555/,https://creativecommons.org/licenses/by-nc/2.0/,Moschell
47933829068,https://www.flickr.com/photos/bugldy99/47933829068/,https://creativecommons.org/licenses/by-nc/2.0/,Bugldy99
48179859921,https://www.flickr.com/photos/chesbayprogram/48179859921/,https://creativecommons.org/licenses/by-nc/2.0/,chesbayprogram
10525432335,https://www.flickr.com/photos/34328261@N02/10525432335/,https://creativecommons.org/licenses/by-nc/2.0/,Blake Matheson
22455780466,https://www.flickr.com/photos/jeff-m-bryant/22455780466/,https://creativecommons.org/licenses/by-nc/2.0/,astro/nature guy
35907910280,https://www.flickr.com/photos/stinkenroboter/35907910280/,https://creativecommons.org/licenses/by-nc/2.0/,stinkenroboter
43665581260,https://www.flickr.com/photos/phenolog/43665581260/,https://creativecommons.org/licenses/by-nc/2.0/,phenolog
5388192935,https://www.flickr.com/photos/34312269@N04/5388192935/,https://creativecommons.org/licenses/by-nc/2.0/,magnunc
33972959288,https://www.flickr.com/photos/danstreiffert/33972959288/,https://creativecommons.org/licenses/by-nc/2.0/,Dan Streiffert
34917278096,https://www.flickr.com/photos/136226684@N06/34917278096/,https://creativecommons.org/licenses/by-nc/2.0/,lajohnson111
44928454062,https://www.flickr.com/photos/stinkenroboter/44928454062/,https://creativecommons.org/licenses/by-nc/2.0/,stinkenroboter
46925360055,https://www.flickr.com/photos/dagberg/46925360055/,https://creativecommons.org/licenses/by-nc/2.0/,Doug Greenberg
48342124481,https://www.flickr.com/photos/pattymc/48342124481/,https://creativecommons.org/licenses/by-nc/2.0/,pattymcgann
27073322921,https://www.flickr.com/photos/anitagould/27073322921/,https://creativecommons.org/licenses/by-nc/2.0/,Anita363
27808508232,https://www.flickr.com/photos/phenolog/27808508232/,https://creativecommons.org/licenses/by-nc/2.0/,phenolog
31306280838,https://www.flickr.com/photos/claudinelamothe/31306280838/,https://creativecommons.org/licenses/by-nc/2.0/,Claudine Lamothe
5980265380,https://www.flickr.com/photos/38983646@N06/5980265380/,https://creativecommons.org/licenses/by-nc/2.0/,Putneypics
9011922245,https://www.flickr.com/photos/ramjet_endeavours/9011922245/,https://creativecommons.org/licenses/by-nc/2.0/,Roger Hiscocks
42726258191,https://www.flickr.com/photos/jeff-m-bryant/42726258191/,https://creativecommons.org/licenses/by-nc/2.0/,astro/nature guy
46647923965,https://www.flickr.com/photos/birdnerds/46647923965/,https://creativecommons.org/licenses/by-nc/2.0/,dmoon10751
46891466995,https://www.flickr.com/photos/dagberg/46891466995/,https://creativecommons.org/licenses/by-nc/2.0/,Doug Greenberg
48159703306,https://www.flickr.com/photos/152155262@N04/48159703306/,https://creativecommons.org/licenses/by-nc/2.0/,Jetpendragon
48159703576,https://www.flickr.com/photos/152155262@N04/48159703576/,https://creativecommons.org/licenses/by-nc/2.0/,Jetpendragon
